id;date;x;y
28;02/06/2019 16:05;47.2328186;-2.385060072
29;02/06/2019 16:05;47.23410034;-2.385099888
30;02/06/2019 16:05;47.23212814;-2.380300045
31;02/06/2019 16:05;47.23482132;-2.386310101
32;02/06/2019 16:05;47.23760986;-2.37409997
34;02/06/2019 16:05;47.22859955;-2.378700018
35;02/06/2019 16:05;47.23635864;-2.393949986
36;02/06/2019 16:05;47.23180008;-2.378900051
39;02/06/2019 16:05;47.23600006;-2.375200033
4;02/06/2019 16:05;47.2285614;-2.385740042
40;02/06/2019 16:05;47.23049927;-2.394910097
41;02/06/2019 16:05;47.23730087;-2.387200117
42;02/06/2019 16:05;47.23587036;-2.391540051
43;02/06/2019 16:05;47.24116135;-2.399319887
44;02/06/2019 16:05;47.23419189;-2.367449999
45;02/06/2019 16:05;47.23548126;-2.382839918
46;02/06/2019 16:05;47.23563004;-2.373480082
47;02/06/2019 16:05;47.22932053;-2.387739897
48;02/06/2019 16:05;47.2294693;-2.382920027
5;02/06/2019 16:05;47.23600006;-2.387099981
6;02/06/2019 16:05;47.23635101;-2.376100063
7;02/06/2019 16:05;47.23574066;-2.386179924
8;02/06/2019 16:05;47.23440933;-2.386519909
9;02/06/2019 16:05;47.23432159;-2.385179996
33;02/06/2019 16:05;47.23289871;-2.386499882
16;02/06/2019 16:05;47.23509979;-2.38560009
3;02/06/2019 16:05;47.22296143;-2.379149914
14;02/06/2019 16:10;47.22980118;-2.383399963
15;02/06/2019 16:10;47.23617935;-2.386679888
16;02/06/2019 16:10;47.2356987;-2.387500048
17;02/06/2019 16:10;47.2405014;-2.402100086
18;02/06/2019 16:10;47.23080063;-2.385299921
19;02/06/2019 16:10;47.22827911;-2.382679939
2;02/06/2019 16:10;47.23239899;-2.38380003
21;02/06/2019 16:10;47.23680115;-2.384200096
22;02/06/2019 16:10;47.23608017;-2.386569977
23;02/06/2019 16:10;47.22977066;-2.384239912
24;02/06/2019 16:10;47.22774124;-2.382950068
26;02/06/2019 16:10;47.23450089;-2.387700081
28;02/06/2019 16:10;47.22594833;-2.378920078
